Row Labels,Sum of critical + direct,entity_type
Puppy Love LLC,0,ORG
Puppy Love Puppies LLC,0,ORG
Puppy Place Inc.,0,ORG
Puppys R Us LLC,0,ORG
PUPPYSTARS INC.,0,ORG
PURPLE PAWS LLC,0,ORG
Quinn LLC,0,ORG
R Family Kennel LLC,0,ORG
R Valley Pets LLC,0,ORG
Railside Acres LLC,0,ORG
Rainbow Creek Kennels,0,ORG
"Schnauzer Heaven Von Longbach, LLC",0,ORG
Shadow Valley LLC,0,ORG
Shady Lawn Kennels LLC,0,ORG
Paw Print Companions LLC,0,ORG
Rock Ridge Golden Retrievers LLC,0,ORG
Rock'N V Ranch LLC,0,ORG
"Rolling Acres Stables, LLC",0,ORG
Rebar Kennels LLC,0,ORG
Roscot Painted Acres Inc.,0,ORG
Red Shed Puppies Ltd,0,ORG
Reisman LLC,0,ORG
Russow Ranch LLC,0,ORG
S & A Kennels,0,ORG
Sally Suschnick Kennel LLC,0,ORG
SAMZS LLC,0,ORG
SCHUYLER CREEK FARM,0,ORG
Serenity Ridge Farm,0,ORG
Shady Acres Kennel LLC,0,ORG
Shady Lane Kennels LLC,0,ORG
Shady Oak Frenchies LLC,0,ORG
Shangrila Kennel LLC,0,ORG
River Bend Puppies LLC,0,ORG
River Bottom Acres LLC,0,ORG
Paw Prints LLC,0,ORG
Riversedge Bulldogs LLC,0,ORG
RMG Bulldogs & teacups LLC,0,ORG
Roadside Puppies LLC,0,ORG
"Paw Prints on my Heart, LLC",0,ORG
"Ridge Road Farms, LLC",0,ORG
Ridge Road Kennels LLC,0,ORG
Shepherd Hills Kennel LLC,0,ORG
Ridglan Farms Inc,0,ORG
Riley Mack Kennel LLC,0,ORG
SHERLYN RICKETTS DAVY RICKETTS,0,ORG
Monrou Enterprises Inc.,0,ORG
Mullberry Hill Farm & Kennel,0,ORG
Pacific Doodles LLC,0,ORG
Manchesters LLC,0,ORG
Marda Family Pups LLC,0,ORG
N V PUPS LLC,0,ORG
Nature's Own LLC,0,ORG
North Fork Puppies LLC,0,ORG
"Ozark Mtn Corgis, Shepherds and Bernese LLC",0,ORG
Marshall Farms Group LTD,0,ORG
Mid-America K9 Services LLC,0,ORG
Milestone Enterprise LLC,0,ORG
Millwood Puppies LLC,0,ORG
Maple Springs Kennel,0,ORG
Maple View Pets LLC,0,ORG
Oakley Sharp Kennels LLC,0,ORG
Miami Deluxe Bullyz LLC,0,ORG
Mahantongo Farms,0,ORG
MARY MARGARETS PUPS LLC,0,ORG
"Middleberry Patch, LLC",0,ORG
Miller Family Pets LLC,0,ORG
"Millers Seamless Guttering, LLC",0,ORG
Mystic Sunset Kennel LLC,0,ORG
NA Schwartz LLC,0,ORG
Meadowview Enterprises,0,ORG
Melvins Dobermans LLC,0,ORG
Oak Hill Genetics LLC,0,ORG
OAK RIDGE KENNEL LLC,0,ORG
Oak Tree Pets LLC,0,ORG
OLa Jo's LLC,0,ORG
OPALONYX DALMATIANS LLC,0,ORG
Orwig Investments LLC,0,ORG
Ozark Mountain Corgis and Shepherds LLC,0,ORG
Ozark Valley Puppies LLC,0,ORG
P. J.'s Puppies LLC,0,ORG
Margies Pets LLC,0,ORG
Passionate Puppies LLC,0,ORG
Patch Of Heaven Kennel LLC,0,ORG
Lone Oak Kennel LLC,0,ORG
Kaskie Farm Inc,0,ORG
"K & E Kennels, Inc.",0,ORG
"Lazy River Kennel, LLC",0,ORG
Legacy & Liberty LLC,0,ORG
KD Family Pets LLC,0,ORG
"KDR Investments, LLC",0,ORG
"Little Companions, LLC",0,ORG
K & K Kanines Inc,0,ORG
LONESTAR DOGGIE VENTURES INC,0,ORG
"Lovin' Pups, LLC",0,ORG
LTs Mountain Man Store,0,ORG
Kerns Farms Corp,0,ORG
M&A Pets LLC,0,ORG
K & R Puppies LLC,0,ORG
Kandy's Puppies LLC,0,ORG
Kapital K9 German Shepherds LLC,0,ORG
K and M Pets LLC,0,ORG
Kings Kids Ministry Inc.,0,ORG
KMC Kennels LLC,0,ORG
Kounty Line Kennel LLC,0,ORG
KRC Ozark Mountain Bloodhounds,0,ORG
K FRANK INC,0,ORG
Kuntry Pups Kennel LLC,0,ORG
Kuntry View Acres LLC,0,ORG
LIBERTY RESEARCH INC,0,ORG
K9 University,0,ORG
Lafary Poms LLC,0,ORG
Lakeside Pets LLC,0,ORG
LANDREES LHASAS LLC,0,ORG
LARKA ENTERPRISES INC.,0,ORG
"Little Paws of Iowa, LLC",0,ORG
Lone Tree Kennel LLC,0,ORG
Lovable K-9s LLC,0,ORG
Love Wrinkles LLC,0,ORG
M&M Pets LLC,0,ORG
"Jandjsbullpack, Inc",0,ORG
"JBK Nebraska Dog, LLC",0,ORG
JCR Kennels LLC,0,ORG
J & J Stamper LLC,0,ORG
J & K JIMTOWN BULLIES LLC,0,ORG
Integrity Pets LLC,0,ORG
J&L Farms,0,ORG
"Jabez Blessing, Inc",0,ORG
"Joyful-Pups, LLC",0,ORG
JRS Farm LLC,0,ORG
JK Puppies LLC,0,ORG
JK5 Farms LLC,0,ORG
JKM LLC,0,ORG
JM Pets LLC,0,ORG
JMK Kennels LLC,0,ORG
Jo Mar Kennel LLC,0,ORG
"Jackies Happy Tails, LLC",0,ORG
JEZI LLC,0,ORG
Double R Cattle CO Inc.,0,ORG
Dreamy Puppy LLC,0,ORG
Friendly Canines LLC,0,ORG
Dry Branch Kennels LLC,0,ORG
Doodle Dog Hill LLC,0,ORG
GRABER FAMILY FARMS LLC,0,ORG
DUNN BROKUS KENNEL INC,0,ORG
Griffin Farms Kennel LLC,0,ORG
Hidden Hollow K-9 LLC,0,ORG
Hilltop Kennels LLC,0,ORG
Dusty Lane Kennel LLC,0,ORG
Hooves N Paws Haven,0,ORG
Dusty Road Kennel LLC,0,ORG
Furry Grandeur Pets LLC,0,ORG
Golden Sunset Hills LLC,0,ORG
"East Texas Aquaranch, Ltd",0,ORG
Ebel Enterprises Inc.,0,ORG
GULF COAST GREAT DANES LLC,0,ORG
Echo Ridge Kennel LLC,0,ORG
Heartstring Kennels LLC,0,ORG
Hershy Acres LLC,0,ORG
Hilltop Pups LLC,0,ORG
Edgeview Kennel LLC,0,ORG
Horseshoe Lake Farms LLC,0,ORG
Fly Away Properties LLC,0,ORG
Frywoods Farm and Kennel LLC,0,ORG
Grassy Ridge Kennels LLC,0,ORG
DLM Farms LLC,0,ORG
Heartland Classics LLC,0,ORG
HEBREWS 13:2 INC.,0,ORG
Elite Hoosier Pets LLC,0,ORG
Hickory Valley Pets LLC,0,ORG
HIDDEN NOOK KENNELS LLC,0,ORG
HILL COUNTRY PAWS LLC,0,ORG
HND LLC,0,ORG
Hopeview Canines LLC,0,ORG
Elkhorn Veterinary Clinic PC,0,ORG
Ford Enterprises LLC,0,ORG
Four Corner Puppies LLC,0,ORG
Fox Creek Kennel LLC,0,ORG
French West Frenchies LLC,0,ORG
Frenchie's Canine Bordello LLC,0,ORG
Friends For Life Pets,0,ORG
Fur Friends Kennel LLC,0,ORG
Glade Rock Farms LLC,0,ORG
Golden Meadows Farm,0,ORG
"Gorilla Backs Kennel, LLC",0,ORG
"Graber Mini Barns, LLC",0,ORG
Grandview Puppies LLC,0,ORG
GREEN MOUNTAIN LLC,0,ORG
"Greyson Orchard, LLC",0,ORG
"Griffin Kennels, LLC",0,ORG
"Heartland K9, LLC",0,ORG
Double D Kennel LLC,0,ORG
Heartland Kennel LLC,0,ORG
HEARTS OF GOLD RETRIEVERS LLC,0,ORG
Heavenly Chows LLC,0,ORG
Evans Creek Kennel LLC,0,ORG
Fairview Kennels LLC,0,ORG
HERITAGE FARMS LLC,0,ORG
Family Fun Canine LLC,0,ORG
Family Pets LLC,0,ORG
Hickory Lane Kennel LLC,0,ORG
Hidden Nook Kennel LLC,0,ORG
Dixieland Bullies LLC,0,ORG
Hill Peak Inc.,0,ORG
FARMSTEAD'S PUPPY PARADISE LLC,0,ORG
Hillcrest Land Company LLC,0,ORG
Hillside Kennel LLC,0,ORG
Hillside Kennels LLC,0,ORG
Hilltop Kennel LLC,0,ORG
