Row Labels,Sum of critical + direct,entity_type
Phil Stoll Jason Knepp,2.0,PERSON
Richard  Tyree,2.0,PERSON
Sam Gingerich,2.0,PERSON
Petie Zook Leah Zook,2.0,PERSON
Raymond Aurand Marlene Aurand,2.0,PERSON
PHYLLIS BURLESON,2.0,PERSON
Sandra Hunt,2.0,PERSON
Paul Swartzentruber Josie Swartzentruber,2.0,PERSON
Sandy Harter,2.0,PERSON
Rosilee McNair Collins,2.0,PERSON
SCOTT SWANSON,2.0,PERSON
ROY MILLER,2.0,PERSON
Reuben E Graber,2.0,PERSON
SHARON FOX,2.0,PERSON
ROBERT BLAN,2.0,PERSON
Rick & Shelly Kuhn,2.0,PERSON
Marvin A Yoder,2.0,PERSON
Nick  Menne Tiffany Menne,2.0,PERSON
Marty Clinton,2.0,PERSON
Mary A Smith,2.0,PERSON
NORMA DAKE,2.0,PERSON
MARY FARINELLI,2.0,PERSON
Myron Yoder,2.0,PERSON
Mary Winkler,2.0,PERSON
NELSON HOCHSTETLER,2.0,PERSON
MANELIUS SCHLABACH,2.0,PERSON
Nocona  Thompson,2.0,PERSON
Maureen Moeller,2.0,PERSON
OSAGE KENNELS L L C,2.0,PERSON
McKenzie Neuroth,2.0,PERSON
Mose A Miller,2.0,PERSON
MELVIN B SHIRK,2.0,PERSON
Nancy Carlson and Thomas Carlson,2.0,PERSON
Marion J Miller,2.0,PERSON
NEENA FELLOWS,2.0,PERSON
MARK RABER,2.0,PERSON
NICHOLAS WAGLER WALLACE WAGLER,2.0,PERSON
PAM LUNA,2.0,PERSON
Noah Martin,2.0,PERSON
NOLAN DEN BOER GINA DEN BOER,2.0,PERSON
Norma Jean Harders,2.0,PERSON
Marie Vondra,2.0,PERSON
NORMA WAGLER,2.0,PERSON
Norman Yoder,2.0,PERSON
Misty Means,2.0,PERSON
Pam Habbinga,2.0,PERSON
Monica Walker & Kimberly Beery,2.0,PERSON
Martha Schrock Joseph Schrock,2.0,PERSON
PAMELA J. PERRY,2.0,PERSON
Kathryn Teague,2.0,PERSON
Larry Peters Pat Peters,2.0,PERSON
Loren Yoder,2.0,PERSON
KIM MARSHALL MORT MARSHALL,2.0,PERSON
Kenneth Baker Kristina Baker Linda Baker,2.0,PERSON
Lila Ratzlaff Keith Ratzlaff,2.0,PERSON
KRISTI YATES,2.0,PERSON
LINDA THOMPSON,2.0,PERSON
Karen Belisle,2.0,PERSON
Lamar E Miller Loretta F  Miller,2.0,PERSON
Leroy C Miller,2.0,PERSON
"Loren Kooiman, Lora Kooiman",2.0,PERSON
LEROY KAUFFMAN,2.0,PERSON
Karen Griffith,2.0,PERSON
Leisha Patrick,2.0,PERSON
LAWRENCE KAUFFMAN,2.0,PERSON
Mabel J Yoder,2.0,PERSON
Jeffrey and Judy Gray,2.0,PERSON
Judith Reed,2.0,PERSON
Jonathon Wickey,2.0,PERSON
Judy Latham,2.0,PERSON
JONATHAN MILLER,2.0,PERSON
Ivan Barkman,2.0,PERSON
Joseph Schrock,2.0,PERSON
JESSICA SALAZAR,2.0,PERSON
JUDY HULETT,2.0,PERSON
JESSICA STILLWELL,2.0,PERSON
JOHN MARRIOTT  SR.,2.0,PERSON
JAMARK,2.0,PERSON
JOHNNY DAKE,2.0,PERSON
Julia Johnson,2.0,PERSON
JOLENE  MARTIN,2.0,PERSON
JULIANA VAN WINKLE,2.0,PERSON
Jonathan Yutzy,2.0,PERSON
JACK PARSON MELISA PARSON,2.0,PERSON
Joseph Hochstetler,2.0,PERSON
JOE BRECKENRIDGE,2.0,PERSON
Isaac L Stoltzfus,2.0,PERSON
JOEY BISHOP,2.0,PERSON
Judith Williamson,2.0,PERSON
JACOB  LAMBRIGHT,2.0,PERSON
JASON BEYER SARAH BEYER,2.0,PERSON
Jacqueline Roesener,2.0,PERSON
Jason Riggs,2.0,PERSON
John Garman,2.0,PERSON
JULIE NELSON,2.0,PERSON
Jim Steinhauser Catherine Steinhauser Dale Steinhauser,2.0,PERSON
Justin Jackson La Nae Jackson,2.0,PERSON
GARY HEWITT,2.0,PERSON
Dorothy S. O' Bar,2.0,PERSON
Elizabeth Yutzy Marianna Yutzy Jonas Yutzy,2.0,PERSON
Enos Mullett,2.0,PERSON
Gary Brown Carolyn Brown,2.0,PERSON
Enos Shetler,2.0,PERSON
Edna Yoder,2.0,PERSON
Doris Martin David Martin,2.0,PERSON
DONALD CONRAD,2.0,PERSON
EUGENE MARTIN,2.0,PERSON
Eli Mullett,2.0,PERSON
Eli Jr. or Ella Borntrager,2.0,PERSON
Gary Phillips,2.0,PERSON
Harry Rudell Freeman,2.0,PERSON
FERMAN TROYER,2.0,PERSON
HELEN BYL ARIE BYL,2.0,PERSON
Floyd Borntrager,2.0,PERSON
Henry Detweiler,2.0,PERSON
Floyd Klocke,2.0,PERSON
HENRY WENGERD,2.0,PERSON
Gail Bear,2.0,PERSON
Gail McGonigal,2.0,PERSON
HOWARD YODER LAMAR  YODER,2.0,PERSON
Ervin Miller Marcus Miller Anna May Miller,2.0,PERSON
DAVID NISLEY,2.0,PERSON
Danny L. Miller,2.0,PERSON
CHRIS NILGES,2.0,PERSON
Dennis and Peggy Ogle,2.0,PERSON
CHRIS VANDERVEER,2.0,PERSON
Daniel Ray Miller,2.0,PERSON
Chrissie Miller Mattie Miller Christopher Miller,2.0,PERSON
David A Miller,2.0,PERSON
Christian B Lapp,2.0,PERSON
DEBBIE HOWLETT,2.0,PERSON
CHRISTY BORNTREGER ELI BORNTREGER,2.0,PERSON
Daniel A Schrock,2.0,PERSON
CHRISTY GRABER,2.0,PERSON
Daniel Miller,2.0,PERSON
Cindy Hubers,2.0,PERSON
Daniel Wingard,2.0,PERSON
Daryl Kendrick Mildred Kendrick,2.0,PERSON
DAVID D. YODER JR.,2.0,PERSON
Cody Zimmerman,2.0,PERSON
Dean Troyer,2.0,PERSON
Deborah Warren,2.0,PERSON
Curtis Orr Mara Orr,2.0,PERSON
DENNIS VAN WYK DONNA VAN WYK,2.0,PERSON
DAN BARKER JR,2.0,PERSON
DIXIE IRVIN,2.0,PERSON
Brenda Callen,2.0,PERSON
Amos A Borntreger Jr,2.0,PERSON
ALBERT YODER,2.0,PERSON
Carol Stoner,2.0,PERSON
ADEN YODER,2.0,PERSON
ALLENE TAYLOR,2.0,PERSON
Brian Letsinger,2.0,PERSON
ALVIN  HERSCHBERGER,2.0,PERSON
ABNER KNEPP,2.0,PERSON
Ashlae Simmons Jason Simmons,2.0,PERSON
AMOS ZIMMERMAN,2.0,PERSON
ADEN BURKHOLDER,2.0,PERSON
Aubry  Kirkpatrick Doris Kirkpatrick,2.0,PERSON
BRIAN HUFFMAN,2.0,PERSON
Catherine Mast,2.0,PERSON
ANDY YODER,2.0,PERSON
Barb Troyer,2.0,PERSON
Carol Prothe,2.0,PERSON
Barbara Crick,2.0,PERSON
ALVIN ZEHR IRENE ZEHR,2.0,PERSON
Caroline Schulte,2.0,PERSON
ANNETTE ECCLES,2.0,PERSON
Arthur L Schmucker,2.0,PERSON
Carolyn Lansdown,2.0,PERSON
TED JOHNSON,1.0,PERSON
Timothy S Schwartz,1.0,PERSON
MARILYN ALEXANDER JAMES ALEXANDER,1.0,PERSON
Michelleen  Horning,1.0,PERSON
LEROY DETWEILER,1.0,PERSON
Lyle Miller,1.0,PERSON
Leroy E Yoder,1.0,PERSON
JAVIN RABER,1.0,PERSON
Harvey E Miller,1.0,PERSON
Eugene Burkholder,1.0,PERSON
ALLEN KELLER,1.0,PERSON
Tom Nass Christie Nass,0.0,PERSON
VONNIE HUBER,0.0,PERSON
Skyline Kennel,0.0,PERSON
TRESSIE BONTRAGER,0.0,PERSON
VERNON YODER,0.0,PERSON
Solomon Schrock,0.0,PERSON
Wayne Burkholder,0.0,PERSON
Sondra Jenkins,0.0,PERSON
Simon K Brenneman,0.0,PERSON
SONJA GREGERSEN,0.0,PERSON
Tracey Neal,0.0,PERSON
Sonny Hearne,0.0,PERSON
Sonya Kelly,0.0,PERSON
Vernetta Brengman Dorenda Nunnally,0.0,PERSON
SONYA KELLY MARSHA MARTIN,0.0,PERSON
Victor Schmucker,0.0,PERSON
