Row Labels,Sum of critical + direct,entity_type
William Dildine Kimberly Dildine,0.0,PERSON
WILMA WAGLER ADRIAN WAGLER,0.0,PERSON
William F. Yoder,0.0,PERSON
William Fleming,0.0,PERSON
William J. Miller,0.0,PERSON
WILLIAM KNEPP,0.0,PERSON
William Miller,0.0,PERSON
William Nesbitt,0.0,PERSON
William Ray Lambright,0.0,PERSON
William S Yoder,0.0,PERSON
Shonda Madison,0.0,PERSON
William V. Perrien II,0.0,PERSON
WILLIAM WADDELL KAYE WADDELL,0.0,PERSON
YOST MILLER,0.0,PERSON
WILLIAM YODER,0.0,PERSON
Yvette Pendleton,0.0,PERSON
WILLIE MILLER,0.0,PERSON
Zach Bobb,0.0,PERSON
Willis Barkman,0.0,PERSON
WILLIS GRABER,0.0,PERSON
Zola Price and Taylor Miner,0.0,PERSON
WILLIS HERSHBERGER,0.0,PERSON
Sherri and Kenny Hughs,0.0,PERSON
WILLIS KROPF,0.0,PERSON
TOBY DETWEILER,0.0,PERSON
Toby Gingerich Marie Gingerich,0.0,PERSON
Wilma and Adrian Wagler,0.0,PERSON
Todd Bauer,0.0,PERSON
Todd Fellows,0.0,PERSON
WIND WALKERS KENNEL L L C,0.0,PERSON
Timothy Wagler,0.0,PERSON
Timothy Wagler Mary Ruth Wagler,0.0,PERSON
Timothy Watlington,0.0,PERSON
TIMOTHY WITTMER,0.0,PERSON
Tina Boyd,0.0,PERSON
Tina Brennan,0.0,PERSON
TINA BROWN,0.0,PERSON
Tina Carr,0.0,PERSON
Wyman Nisley,0.0,PERSON
Tina Martin Troy Martin,0.0,PERSON
Tina Osborn,0.0,PERSON
Yvette and Larry Bolz,0.0,PERSON
Tina Trammell,0.0,PERSON
Yvonne Sellin Wayne Sellin,0.0,PERSON
Zak and Amanda Sutton,0.0,PERSON
Titus  Coblentz Elaine  Coblentz,0.0,PERSON
TITUS  YODER,0.0,PERSON
Toba Miller,0.0,PERSON
ROBERT BEACHY,0.0,PERSON
RYCKI MEHMERT,0.0,PERSON
RON HUGHES,0.0,PERSON
SANDRA TRUAX,0.0,PERSON
Robynn Snow,0.0,PERSON
Roy Dodd,0.0,PERSON
Samuel Forbes Julie Forbes,0.0,PERSON
ROBERT NORTON BETTY NORTON,0.0,PERSON
PAUL CUMMINGS,0.0,PERSON
Paul D Blosser,0.0,PERSON
RUDY WAGLER,0.0,PERSON
Peggy Grisham and Craig Grisham,0.0,PERSON
SAMANTHA CHANDLER,0.0,PERSON
Peggy Hampton Marvin Hampton,0.0,PERSON
Samuel Miller Kathryn Miller,0.0,PERSON
Peggy Minor,0.0,PERSON
Sarah Causey,0.0,PERSON
PEGGY PARROW,0.0,PERSON
SHARON FRANKLIN,0.0,PERSON
PATRICIA M. SPERANDIO,0.0,PERSON
Robert Gray,0.0,PERSON
ROBERT YODER,0.0,PERSON
Perry J Bontrager,0.0,PERSON
Perry J. Kuhns,0.0,PERSON
Ronald Vlasin Elaine Vlasin,0.0,PERSON
Perry Lee Whetstone,0.0,PERSON
Ross Helmuth,0.0,PERSON
Perry Petersheim,0.0,PERSON
Ruben and Eva Mae Rissler,0.0,PERSON
Pete & Rebecca Miller,0.0,PERSON
PAUL HENSON,0.0,PERSON
Pete Miller,0.0,PERSON
PETE SWIHART SUSIE SWIHART,0.0,PERSON
Samuel and Elizabeth Schwartz,0.0,PERSON
Pete Weaver,0.0,PERSON
SAMUEL J. SCHWARTZ PRISCILLA P. SCHWARTZ,0.0,PERSON
Pete Yoder Lydia Yoder,0.0,PERSON
PETER  SCHWARTZ LOVINA  SCHWARTZ,0.0,PERSON
Sanford and Mary Schlabach,0.0,PERSON
PETER GOCHEFF,0.0,PERSON
Savana Williams,0.0,PERSON
Peter L and Miriam Zimmerman,0.0,PERSON
Shae Wilson,0.0,PERSON
Patricia Mooney,0.0,PERSON
Sharon Rich,0.0,PERSON
Peter SH Schwartz,0.0,PERSON
Robert D Burton,0.0,PERSON
Peter T Schwartz,0.0,PERSON
Robert Mangan,0.0,PERSON
Peter T.J. Schwartz,0.0,PERSON
ROBERT SCHNAKE DEBBIE SCHNAKE,0.0,PERSON
Peter Troyer,0.0,PERSON
ROBIN  SCHERTZ TRINA SCHERTZ,0.0,PERSON
Peter Wengerd Laverda Wengerd,0.0,PERSON
Petie B Schwartz,0.0,PERSON
Rodney Allison Leah Allison,0.0,PERSON
Petie E.T. Schwartz,0.0,PERSON
Roger Shilling,0.0,PERSON
Petie Hilty,0.0,PERSON
ROMAN RABER,0.0,PERSON
Petie S Zook,0.0,PERSON
RONALD BEAUFORD PEGGY BEAUFORD RODNEY BEAUFORD,0.0,PERSON
PETIE SCHWARTZ,0.0,PERSON
Ronnie Joe Frazier Lea Ann Frazier,0.0,PERSON
Petie WZ Schwartz,0.0,PERSON
Rosemary Wood,0.0,PERSON
Patricia Mooney and Leslee Mooney,0.0,PERSON
Roy Allen Wengerd,0.0,PERSON
ROY SCHLABACH,0.0,PERSON
PHIL  SCHLABACH,0.0,PERSON
RUBY MILLER NATHAN MILLER,0.0,PERSON
Phil and Travis Raber,0.0,PERSON
Rusty and Kim Hodges,0.0,PERSON
Patricia Phillips,0.0,PERSON
Ryan and Marcus Herschberger,0.0,PERSON
Phil Weymouth & Yolanda Weymouth,0.0,PERSON
PAUL MILLER,0.0,PERSON
PHILIP BONTRAGER,0.0,PERSON
Sam Mast,0.0,PERSON
Philip Chupp,0.0,PERSON
Sammy SH Schwartz,0.0,PERSON
PHILIP GRABER,0.0,PERSON
Samuel E Yoder,0.0,PERSON
Philip Imhoff,0.0,PERSON
Samuel J Graber,0.0,PERSON
Samuel L Yoder,0.0,PERSON
Philisha Stallbaumer,0.0,PERSON
Samuel Yoder,0.0,PERSON
Phillip Knepp,0.0,PERSON
Sandra Frische,0.0,PERSON
Phillip Wagler,0.0,PERSON
Paul Zimmerman,0.0,PERSON
Patricia Rowe,0.0,PERSON
SARA GERBER,0.0,PERSON
Phyllis Kelley,0.0,PERSON
Sarah Stoll,0.0,PERSON
Phyllis McBride,0.0,PERSON
Scott Alexander,0.0,PERSON
Phyllis McBride Matthew McBride,0.0,PERSON
Phyllis Schultz,0.0,PERSON
Phyllis Shipley,0.0,PERSON
SHARON LANZ,0.0,PERSON
Robert Braun Sara Braun,0.0,PERSON
ROBERT DE JONGE,0.0,PERSON
ROBERT JACKSON Elaine  Jackson,0.0,PERSON
Robert Mast,0.0,PERSON
ROBERT RASH,0.0,PERSON
Paul and Jesica Byrd,0.0,PERSON
Roberta Moreland,0.0,PERSON
Robin Herd,0.0,PERSON
Rodney Leonard Jr,0.0,PERSON
Roger Nottingham Sr,0.0,PERSON
Roland or Joan Keith,0.0,PERSON
Roman E Lambright,0.0,PERSON
ROMAN YODER,0.0,PERSON
Ron Sherman Peggy Sherman,0.0,PERSON
Ronald Parkey,0.0,PERSON
RONNIE ELMER JOYCE ELMER,0.0,PERSON
Rosalie Claxton,0.0,PERSON
ROSEANN STRAND TIMOTHY STRAND,0.0,PERSON
Rosie Hershberger and Menno Yoder,0.0,PERSON
ROY D. LAMBERT,0.0,PERSON
ROY KAUFFMAN,0.0,PERSON
Priscilla F. Lapp and Simeon S. Lapp,0.0,PERSON
RUBIN  MILLER NANCY MILLER,0.0,PERSON
Priscilla Land,0.0,PERSON
Rudy Gingerich,0.0,PERSON
RUSSELL JAMES,0.0,PERSON
Patricia Sanders,0.0,PERSON
RUTH BUCKELS,0.0,PERSON
RUTH WRIGHT,0.0,PERSON
Ryan Miller,0.0,PERSON
Paul Kilmer,0.0,PERSON
Paul P Knepp,0.0,PERSON
PATRICIA K. LOESCHEN,0.0,PERSON
Paul Troyer,0.0,PERSON
Sammy H.P. Hilty,0.0,PERSON
Sammy Zook,0.0,PERSON
PATRICIA KARR,0.0,PERSON
SAMUEL F AND DARLENE YODER,0.0,PERSON
Samuel H Zimmerman,0.0,PERSON
Samuel J Yoder,0.0,PERSON
SAMUEL KAUFFMAN,0.0,PERSON
SAMUEL LAPP,0.0,PERSON
SAMUEL SCHMUCKER,0.0,PERSON
R.D. Brown,0.0,PERSON
Samuel Zimmerman,0.0,PERSON
Rachel and Samuel Mast,0.0,PERSON
Sandra Balentine,0.0,PERSON
Rachel Curtis,0.0,PERSON
Sandra L Schubarth,0.0,PERSON
RACHEL KEIM,0.0,PERSON
Paul Z King,0.0,PERSON
Rachel R Mast,0.0,PERSON
SANDY VAN ZEE,0.0,PERSON
Rachel Sien,0.0,PERSON
SANTOS MONDRAGON JR,0.0,PERSON
"Rachel Wagler, Jonathan Wagler, Elmer Wagler",0.0,PERSON
Sara S Bontrager,0.0,PERSON
Rae Lynn Mercer,0.0,PERSON
SARAH P. SCHWARTZ DAVID J. F. SCHWARTZ,0.0,PERSON
Sarah Yoder James Yoder,0.0,PERSON
Ralph Crosby,0.0,PERSON
Scott Lyssy,0.0,PERSON
Patricia Sparlin,0.0,PERSON
Ramah Lambright,0.0,PERSON
Shana Mendez,0.0,PERSON
Randall Miller,0.0,PERSON
Sharon Hubbard,0.0,PERSON
Randall Roy,0.0,PERSON
Sharon Main,0.0,PERSON
Randy Bartkoski Debra Bartkoski,0.0,PERSON
SHARON WILSON,0.0,PERSON
Randy Bowyer Cristy Bowyer,0.0,PERSON
Robert and Sarah Martin,0.0,PERSON
Randy Dyer Sue Dyer,0.0,PERSON
Patty Talcott Mike Talcott,0.0,PERSON
Randy Rees,0.0,PERSON
ROBERT COBLENTZ,0.0,PERSON
Randy Richardson,0.0,PERSON
Robert D Miller,0.0,PERSON
Randy Schweitzer,0.0,PERSON
ROBERT ENGBRECHT,0.0,PERSON
Randy Stewart,0.0,PERSON
Robert Halpain Starmye Halpain,0.0,PERSON
Patrick Henry,0.0,PERSON
Robert M. Nisley,0.0,PERSON
Patrick ODell DEBORAH ODELL,0.0,PERSON
Robert Martin,0.0,PERSON
Rashei Lynn Stuekerjuergen,0.0,PERSON
ROBERT MILLER,0.0,PERSON
RAY CORRIGAN,0.0,PERSON
PAUL  WAGLER,0.0,PERSON
Ray Gingerich,0.0,PERSON
Robert Roberson,0.0,PERSON
RAY MILLER,0.0,PERSON
Robert Schrock,0.0,PERSON
Patsy A Coble,0.0,PERSON
Robert Troyer,0.0,PERSON
RAY YODER,0.0,PERSON
ROBERT YORK,0.0,PERSON
RAYMOND  MILLER MARY  MILLER,0.0,PERSON
Roberta Sparkman,0.0,PERSON
Raymond A Raber,0.0,PERSON
Robin Fedders,0.0,PERSON
Patricia Holiman,0.0,PERSON
Robin Sheets,0.0,PERSON
Raymond Eash,0.0,PERSON
Raymond Hershberger,0.0,PERSON
RAYMOND HOOVER,0.0,PERSON
ROCKY HILL KENNEL,0.0,PERSON
Raymond Hostetler,0.0,PERSON
Raymond J Miller,0.0,PERSON
Raymond J Stutzman,0.0,PERSON
Raymond J Yoder,0.0,PERSON
Rodney Asmussen Pamela Asmussen,0.0,PERSON
PATSY GARMON,0.0,PERSON
Paul Chupp,0.0,PERSON
RAYMOND MILLER,0.0,PERSON
ROGER MILLER,0.0,PERSON
Raymond Miller Kathy Miller,0.0,PERSON
ROGER RIEBE,0.0,PERSON
RAYMOND MILLER RHODA MILLER,0.0,PERSON
Roger Walls Melissa Walls,0.0,PERSON
RAYMOND MULLETT,0.0,PERSON
RAYMOND NISLEY,0.0,PERSON
ROLLING RIDGE KENNEL,0.0,PERSON
RAYMOND WITTMER,0.0,PERSON
ROMAN MILLER,0.0,PERSON
RAYMOND YUTZY,0.0,PERSON
Roman Schrock,0.0,PERSON
RAYMOND YUTZY MALINDA YUTZY,0.0,PERSON
Ron and Donna Hanson,0.0,PERSON
Raymond Z Lapp,0.0,PERSON
RON PAYNE DEBBIE PAYNE,0.0,PERSON
Reagan Pearce,0.0,PERSON
Ronald Beauford,0.0,PERSON
Ronald Bulach,0.0,PERSON
Ronald Taylor Geneva Taylor,0.0,PERSON
Rebecca  Edwards,0.0,PERSON
Ronnie Chappell,0.0,PERSON
Rebecca Allen,0.0,PERSON
Ronnie Graber and Lovina Graber,0.0,PERSON
Rebecca Cox Robin Cox,0.0,PERSON
ROSA ZEHR,0.0,PERSON
REBECCA GRABER,0.0,PERSON
Rebecca Mosshart,0.0,PERSON
Rose Troyer,0.0,PERSON
Rebecca Posten,0.0,PERSON
ROSEMARY MULLET MARVIN MULLET,0.0,PERSON
Rebecca Ryan Bobby Ryan,0.0,PERSON
Paul D E Schwartz,0.0,PERSON
Rebecca Thompson,0.0,PERSON
Rebecca Troyer,0.0,PERSON
Roxanne Castens,0.0,PERSON
Roy Burkholder,0.0,PERSON
Reese Kauble Christy Kauble,0.0,PERSON
Roy D. Miller,0.0,PERSON
Regina Eades,0.0,PERSON
Roy J Raber,0.0,PERSON
REGINA LAFFERTY HEATH KIRKLIN JENNIFER KIRKLIN,0.0,PERSON
Paul D.E. Schwartz,0.0,PERSON
Regina Miller,0.0,PERSON
ROY YODER,0.0,PERSON
REGINA MILLER DARYL MILLER,0.0,PERSON
PAUL HAAG SHEILA HAAG,0.0,PERSON
Ruben Duncan,0.0,PERSON
Renae Schuiteman and Terry Schuiteman,0.0,PERSON
Ruby Mast Andy Mast,0.0,PERSON
Patricia Huddleston,0.0,PERSON
Ruby Shown,0.0,PERSON
Renee L. Scarcelli,0.0,PERSON
Rudy N Schwartz,0.0,PERSON
RENNIE WASHAUSEN,0.0,PERSON
RUDY YODER,0.0,PERSON
REUBEN  MILLER,0.0,PERSON
Reuben A Yoder,0.0,PERSON
RUTH ANN HAMM,0.0,PERSON
Reuben Bontrager,0.0,PERSON
RUTH BURKS,0.0,PERSON
"Reuben Crandall, Stacy Crandall",0.0,PERSON
RUTH HERSHBERGER,0.0,PERSON
Reuben D Graber,0.0,PERSON
RYAN  WAGLER,0.0,PERSON
Reuben D Yoder,0.0,PERSON
Ryan Herschberger Marcus Herschberger,0.0,PERSON
Patsy J King,0.0,PERSON
RYAN RABER HANNAH RABER,0.0,PERSON
Reuben Erb,0.0,PERSON
Reuben Esch,0.0,PERSON
S. KARLENE MC ABEE,0.0,PERSON
Reuben H Miller,0.0,PERSON
SADIE RIEHL MARVIN RIEHL,0.0,PERSON
Reuben H Troyer,0.0,PERSON
Patti Phipps,0.0,PERSON
Sam Byler,0.0,PERSON
Reuben Hostetler,0.0,PERSON
SAM KAEHR,0.0,PERSON
Reuben J Miller,0.0,PERSON
Sam P Neuenschwander,0.0,PERSON
Reuben L Mast,0.0,PERSON
Sam Schwartz,0.0,PERSON
Reuben M Schlabach,0.0,PERSON
SAMANTHA MUDDER JIM MUDDER,0.0,PERSON
SAMMY LZ SCHWARTZ,0.0,PERSON
REUBEN MILLER LINDA MILLER,0.0,PERSON
Sammy Woods Tammy Woods,0.0,PERSON
REUBEN SCHROCK,0.0,PERSON
SAMUEL  SWAREY,0.0,PERSON
REUBEN TROYER,0.0,PERSON
Samuel Beiler,0.0,PERSON
SAMUEL BORNTREGER,0.0,PERSON
Reuben Yutzy Lewis Yutzy,0.0,PERSON
Samuel Erb,0.0,PERSON
Rex and Sandra Walker,0.0,PERSON
SAMUEL FISHER,0.0,PERSON
Rhoda Detweiler Stephen Detweiler,0.0,PERSON
SAMUEL GIROD,0.0,PERSON
Rhonda Frederick,0.0,PERSON
Samuel J and Esther J Petersheim,0.0,PERSON
Rhonda Gibson,0.0,PERSON
Samuel J King,0.0,PERSON
Rhonda Haden,0.0,PERSON
Samuel J. Graber,0.0,PERSON
Rhonda Pope,0.0,PERSON
Samuel K Zook,0.0,PERSON
Rhonda Wiggins,0.0,PERSON
Samuel L Borntrager,0.0,PERSON
PATTY DONITHAN,0.0,PERSON
SAMUEL LAMBRIGHT,0.0,PERSON
Richard and Candice (Cristy) Hume,0.0,PERSON
SAMUEL MILLER,0.0,PERSON
Richard and Cindy Jensen,0.0,PERSON
Samuel S Beachy,0.0,PERSON
Richard and Myrna Lambright,0.0,PERSON
Samuel Shetler,0.0,PERSON
Richard and Verda Marlene Weaver,0.0,PERSON
Samuel Z Brubacker,0.0,PERSON
Richard D. Wagler,0.0,PERSON
RICHARD DODSON MARGARET DODSON,0.0,PERSON
Sandi Shank,0.0,PERSON
Richard Frey,0.0,PERSON
SANDRA FISHER GLEN FISHER,0.0,PERSON
Richard Hatton,0.0,PERSON
PAUL YODER,0.0,PERSON
Richard Hoffman,0.0,PERSON
Sandra Michelle Russell,0.0,PERSON
Richard L. and Christina Raber,0.0,PERSON
Sandra Wink,0.0,PERSON
Richard Lambright,0.0,PERSON
Sandy Acres Kennel,0.0,PERSON
Richard Leuty,0.0,PERSON
Sandy Simons,0.0,PERSON
RICHARD MARTIN,0.0,PERSON
Sandy Wisdom,0.0,PERSON
Richard McAlpin,0.0,PERSON
Richard Weaver and Verda Marlene Weaver,0.0,PERSON
Sara Erwin,0.0,PERSON
RICHARD WILLIAMS ROSA WILLIAMS,0.0,PERSON
Sara Hulshof,0.0,PERSON
Sharrie Ogle,0.0,PERSON
Sarah Ann Mast,0.0,PERSON
Shaun Merrell,0.0,PERSON
Sarah Graber,0.0,PERSON
Shawn Evans,0.0,PERSON
Sarah Phillips,0.0,PERSON
SARAH WEBB,0.0,PERSON
Shea Bailey Leah Bailey,0.0,PERSON
Paulette Carey William Carey,0.0,PERSON
Sheila Bealmer,0.0,PERSON
Sheila Hughes,0.0,PERSON
Shelba K. Canfield,0.0,PERSON
Scott Harper,0.0,PERSON
SHELL & RANELLE ABBOTT,0.0,PERSON
Pauline Thomas,0.0,PERSON
SHELLIE WEAVER SHELLY WEAVER,0.0,PERSON
Shem Swarey,0.0,PERSON
SHER OLSON,0.0,PERSON
Sheree & Randall Bonnette,0.0,PERSON
Sheri Chapman and Mikaela Branson,0.0,PERSON
Shala Clark,0.0,PERSON
Patricia Galyon Charles Galyon Sr.,0.0,PERSON
Sharon Ambrose,0.0,PERSON
SHARON GOSSETT,0.0,PERSON
SHARON K BROWN,0.0,PERSON
Sharon Lavy,0.0,PERSON
Sharon Pendleton Sam Pendleton,0.0,PERSON
Sharon Stoltzfus,0.0,PERSON
Robby Cross,0.0,PERSON
Robert Allmond,0.0,PERSON
Patty Johnson,0.0,PERSON
SHAWN BIRCHFIELD,0.0,PERSON
Rick and Sara Sandbulte,0.0,PERSON
Shawn Sutmiller Johnny Sutmiller Dorothy Sutmiller,0.0,PERSON
RICK KLINKHAMMER,0.0,PERSON
Shawnie Evans,0.0,PERSON
Rick McManigal Susie McManigal,0.0,PERSON
Sheila  Caraway,0.0,PERSON
RICK MILLER SHANE MILLER,0.0,PERSON
SHEILA HUFF,0.0,PERSON
Rick Sandbulte Sara Sandbulte,0.0,PERSON
SHEILA NEWELL,0.0,PERSON
RICK VAUGHN LAURA VAUGHN,0.0,PERSON
Shelby  Taffner Kevin Taffner,0.0,PERSON
Ricky Christman,0.0,PERSON
Shelli Mc Carty,0.0,PERSON
Shelly Weaver,0.0,PERSON
Shereana Stanforth,0.0,PERSON
Riley Collins Braden Branstetter Retta Collins,0.0,PERSON
Sheri Chapman,0.0,PERSON
Risa Krantz,0.0,PERSON
Rita Crone Schroeder,0.0,PERSON
Michael D Oberbeck,0.0,PERSON
Nathan Yoder,0.0,PERSON
MARIANNE DAVIS,0.0,PERSON
Norman Miller,0.0,PERSON
MARIE MADISON,0.0,PERSON
Mike Wolfe,0.0,PERSON
Marie Spaans,0.0,PERSON
Nancy Helms,0.0,PERSON
Mahlon Schrock Fannie Schrock,0.0,PERSON
Nicole Pultz,0.0,PERSON
Maria Ruiz-Flores,0.0,PERSON
Owen Detweiler,0.0,PERSON
Marilyn Chupp,0.0,PERSON
Michael Yutzy,0.0,PERSON
Marilyn Joseph,0.0,PERSON
Miriam Stoltzfus Matthew Stoltzfus,0.0,PERSON
MARILYN KERN,0.0,PERSON
MARILYN MILLER,0.0,PERSON
Natalie Nelson,0.0,PERSON
Marilyn Reiff Glen Reiff,0.0,PERSON
Nelson R Yoder,0.0,PERSON
Marilyn Soukup,0.0,PERSON
Nolan and Gina Den Boer,0.0,PERSON
Marilyn Starkey,0.0,PERSON
ORA BONTRAGER SARA BONTRAGER,0.0,PERSON
Marilyn White,0.0,PERSON
Mia Prince,0.0,PERSON
Marilyn Zimmerman,0.0,PERSON
Michael Kreger,0.0,PERSON
Marion A Miller,0.0,PERSON
Maria Stille,0.0,PERSON
Marion D Miller,0.0,PERSON
MARION GIGER LEILA GIGER,0.0,PERSON
Molly Campbell,0.0,PERSON
MALINDA GRABER IVAN GRABER MERLE GRABER,0.0,PERSON
MOSE YODER,0.0,PERSON
Marion Keim,0.0,PERSON
Myron J Hochstetler,0.0,PERSON
MARION MILLER,0.0,PERSON
Marion Nisley,0.0,PERSON
NATHAN MILLER,0.0,PERSON
MARJORIE EASTWOOD,0.0,PERSON
Neil Dierking Deb Dierking,0.0,PERSON
Marjorie Phillips,0.0,PERSON
Neva Schlabach,0.0,PERSON
MARJORIE PHILLIPS THOMAS PHILLIPS,0.0,PERSON
Noah J Miller,0.0,PERSON
Madeline Carol Gray,0.0,PERSON
NORMAN  YODER,0.0,PERSON
MARK  GRABER,0.0,PERSON
Mark and Kristina Mast,0.0,PERSON
Orva Miller,0.0,PERSON
MARK ERB,0.0,PERSON
Mark Glick,0.0,PERSON
MICHAEL  WEAVER,0.0,PERSON
Mark Greenup Connie Greenup,0.0,PERSON
MICHAEL GARBER,0.0,PERSON
Mark J Mast,0.0,PERSON
Michael Schmucker,0.0,PERSON
Mark Kauffman,0.0,PERSON
Michelle Anderson,0.0,PERSON
Michelle Jones,0.0,PERSON
Mike and Carol Ford,0.0,PERSON
MARK LANDERS,0.0,PERSON
Mike Moore,0.0,PERSON
MARK LYNCH,0.0,PERSON
Milan Yoder,0.0,PERSON
Mark Mason,0.0,PERSON
Milton Lewis,0.0,PERSON
Mahlon Miller,0.0,PERSON
Marcus Wittmer,0.0,PERSON
Mark Riley,0.0,PERSON
Mark Schultz Dorinda Schultz,0.0,PERSON
Moses S Glick,0.0,PERSON
Mark Wehling,0.0,PERSON
MYRA J. BURROW,0.0,PERSON
Mark Yoder,0.0,PERSON
Marla Yeubanks Kevin Yeubanks,0.0,PERSON
NANCY MAGNUSSON KEN MAGNUSSON,0.0,PERSON
MARLENE BRANDENBERGER,0.0,PERSON
Nancy Waugh,0.0,PERSON
MARLENE BUNDY,0.0,PERSON
Nathan Hochstetler,0.0,PERSON
Marlene Zimmerman,0.0,PERSON
NATHAN STEURY,0.0,PERSON
MARLIN BEACHY,0.0,PERSON
Marlin Brubacher,0.0,PERSON
Nelson Diener,0.0,PERSON
Marlin David Stoll,0.0,PERSON
Nelson Yoder,0.0,PERSON
MARLIN DETWEILER,0.0,PERSON
Margaret Hooks,0.0,PERSON
Marlin E Wagler,0.0,PERSON
Marlin Graber,0.0,PERSON
Noah R Yoder,0.0,PERSON
MARLIN HOSTETLER,0.0,PERSON
NORMA BRAKEFIELD,0.0,PERSON
MARLIN MILLER,0.0,PERSON
NORMAN GINGERICH,0.0,PERSON
Marlin Otto Karen Otto,0.0,PERSON
Marlin R Knepp,0.0,PERSON
OLEN  KEMP,0.0,PERSON
MARLIN RABER,0.0,PERSON
ORLAN  MILLER,0.0,PERSON
Marlin Sauder,0.0,PERSON
MARLIN TROYER,0.0,PERSON
MARLIN WOLTER BETTY WOLTER,0.0,PERSON
Pam Knapp,0.0,PERSON
MARLIN YODER,0.0,PERSON
Micah  Alford Jackie Alford,0.0,PERSON
Marlin Zimmerman,0.0,PERSON
Michael and Kimberly Ruede,0.0,PERSON
MARLTON DE NEUI PAUL DE NEUI,0.0,PERSON
Michael Fisher,0.0,PERSON
Marsha Allison,0.0,PERSON
MICHAEL KNUDTSON,0.0,PERSON
Marsha Freeman,0.0,PERSON
Michael Raber,0.0,PERSON
Marsha Huffman,0.0,PERSON
MICHAEL SMITH,0.0,PERSON
Marsha Schmidt-Janes,0.0,PERSON
Michele Cansler,0.0,PERSON
MICHELLE FRIDDLE,0.0,PERSON
Marta I Gonzalez,0.0,PERSON
MICHELLE SONNENBERG,0.0,PERSON
Martha Miller Christopher Miller,0.0,PERSON
Martha Mullett,0.0,PERSON
Mike Boggan,0.0,PERSON
Martha Paula and Bill Lovelace,0.0,PERSON
Mike West Sharon West,0.0,PERSON
Marcus Schmucker,0.0,PERSON
Martha Troyer,0.0,PERSON
Martha Wagler,0.0,PERSON
MARTHA WENGER,0.0,PERSON
MIRIAM HOOVER,0.0,PERSON
Martin & Cory Blum,0.0,PERSON
Misty Crane,0.0,PERSON
Martin and Barbara Hammen,0.0,PERSON
Mockingbird Hill Kennel,0.0,PERSON
Monica Buerger,0.0,PERSON
MARTIN MILLER,0.0,PERSON
Marcus Yoder,0.0,PERSON
Martin Steury,0.0,PERSON
MARTIN WAGLER,0.0,PERSON
MOSE NISLEY,0.0,PERSON
Moses Lee,0.0,PERSON
MARTY HALL DUSTIN HALL,0.0,PERSON
Moses Zimmerman,0.0,PERSON
Marty Murray,0.0,PERSON
Marty Swartzentruber,0.0,PERSON
Myron and Naomi Yoder,0.0,PERSON
Marty Wagler,0.0,PERSON
Mardee Lincoln,0.0,PERSON
MARTY YODER SERENA YODER,0.0,PERSON
MARGARET BAKER,0.0,PERSON
Marvin & Naomi Lengacher,0.0,PERSON
Nancy Locke,0.0,PERSON
NANCY O CONNOR,0.0,PERSON
Marvin and Vera Yutzy,0.0,PERSON
NANCY SCHOMBERG,0.0,PERSON
Marcella Meyer Bill Meyer,0.0,PERSON
Nancy Youngblood,0.0,PERSON
MARVIN BURKHOLDER MALINDA  BURKHOLDER,0.0,PERSON
Nathan Fleming,0.0,PERSON
Marvin Cobb,0.0,PERSON
Nathan L Wagler,0.0,PERSON
Marvin Coblentz,0.0,PERSON
NATHAN OTTO,0.0,PERSON
Marvin Graber Barbara Graber,0.0,PERSON
Nathan Weaver Lillian Weaver,0.0,PERSON
MARVIN HERSHBERGER,0.0,PERSON
Nathanael Martin Noretta Martin,0.0,PERSON
Marvin Hilty,0.0,PERSON
Neal Ramer,0.0,PERSON
MARVIN HOCHSTETLER,0.0,PERSON
Nelson and LeAnna Yoder,0.0,PERSON
Marvin Huston and Jacob Holycross,0.0,PERSON
NELSON HOOVER,0.0,PERSON
Marvin J Yoder,0.0,PERSON
Nelson W Graber,0.0,PERSON
Marvin Kemp,0.0,PERSON
Nettie Harris,0.0,PERSON
MARVIN LEE KNEPP,0.0,PERSON
Nicholas L Wagler,0.0,PERSON
Marvin Lee Oberholtzer,0.0,PERSON
Margaret Howerton,0.0,PERSON
MARVIN LENGACHER,0.0,PERSON
NILA SUE CLARK,0.0,PERSON
MARVIN MILLER,0.0,PERSON
Noah Cressel George Cressel Amanda Cressel,0.0,PERSON
Mahlon S Beachy,0.0,PERSON
Margaret Manning,0.0,PERSON
Marvin Raber,0.0,PERSON
NOAH ZOOK,0.0,PERSON
MARVIN RAY STOLL,0.0,PERSON
NORENE LUCAS,0.0,PERSON
Marvin Schmucker,0.0,PERSON
Margaret Smith,0.0,PERSON
Marvin Sing Jr,0.0,PERSON
Norman and Ida Gingerich,0.0,PERSON
Marvin Troyer,0.0,PERSON
Norman Hershberger & Steve Kaffman,0.0,PERSON
Marvin Wagler,0.0,PERSON
Margie French,0.0,PERSON
Marvin Yoder,0.0,PERSON
Mary  Harrison,0.0,PERSON
Mary  Pierson,0.0,PERSON
Mary  Pierson Alison  Baudin,0.0,PERSON
ORIN MAST,0.0,PERSON
Mary & Lee Roy Bearden,0.0,PERSON
Orlie Yoder,0.0,PERSON
Marcia Mayo,0.0,PERSON
Orvin Lee Yoder,0.0,PERSON
Mary Alexander,0.0,PERSON
OWEN BEECHY,0.0,PERSON
Mary and Alvin Good,0.0,PERSON
Mahlon E Schwartz,0.0,PERSON
Mary and Corey Boswell,0.0,PERSON
P J SHUNKWILER,0.0,PERSON
